Timestamp,SF_Level,Game_No,Color,Result,Win,Draw,Loss
2025-12-10 01:16:11,1,1,White,1,1,0,0
2025-12-10 01:19:43,1,2,Black,1,1,0,0
2025-12-10 01:21:55,1,3,White,1,1,0,0
2025-12-10 01:23:45,1,4,Black,1,1,0,0
2025-12-10 01:26:12,1,5,White,1,1,0,0
2025-12-10 01:27:54,1,6,Black,1,1,0,0
2025-12-10 01:29:35,1,7,White,1,1,0,0
2025-12-10 01:31:27,1,8,Black,1,1,0,0
2025-12-10 01:34:25,1,9,White,0,0,1,0
2025-12-10 01:38:44,1,10,Black,0,0,1,0
2025-12-10 01:40:05,1,11,White,1,1,0,0
2025-12-10 01:41:31,1,12,Black,0,0,1,0
2025-12-10 01:42:52,1,13,White,1,1,0,0
2025-12-10 01:46:14,1,14,Black,0,0,1,0
2025-12-10 01:48:07,1,15,White,1,1,0,0
2025-12-10 01:50:06,1,16,Black,1,1,0,0
2025-12-10 01:51:42,1,17,White,1,1,0,0
2025-12-10 01:53:22,1,18,Black,1,1,0,0
2025-12-10 01:55:36,1,19,White,1,1,0,0
2025-12-10 01:56:34,1,20,Black,1,1,0,0
2025-12-10 01:58:39,1,21,White,0,0,1,0
2025-12-10 02:00:06,1,22,Black,1,1,0,0
2025-12-10 02:01:34,1,23,White,1,1,0,0
2025-12-10 02:05:42,1,24,Black,0,0,1,0
2025-12-10 02:07:22,1,25,White,1,1,0,0
2025-12-10 02:09:32,1,26,Black,1,1,0,0
2025-12-10 02:11:31,1,27,White,0,0,1,0
2025-12-10 02:12:53,1,28,Black,1,1,0,0
2025-12-10 02:15:33,1,29,White,1,1,0,0
2025-12-10 02:17:25,1,30,Black,1,1,0,0
2025-12-10 02:19:11,1,31,White,1,1,0,0
2025-12-10 02:20:40,1,32,Black,1,1,0,0
2025-12-10 02:22:30,1,33,White,1,1,0,0
2025-12-10 02:25:04,1,34,Black,1,1,0,0
2025-12-10 02:28:00,1,35,White,1,1,0,0
2025-12-10 02:30:04,1,36,Black,1,1,0,0
2025-12-10 02:31:26,1,37,White,1,1,0,0
2025-12-10 02:33:37,1,38,Black,1,1,0,0
2025-12-10 02:35:42,1,39,White,0,0,1,0
2025-12-10 02:37:14,1,40,Black,1,1,0,0
2025-12-10 02:39:09,1,41,White,1,1,0,0
2025-12-10 02:40:02,1,42,Black,1,1,0,0
2025-12-10 02:41:15,1,43,White,1,1,0,0
2025-12-10 02:42:26,1,44,Black,1,1,0,0
2025-12-10 02:44:37,1,45,White,1,1,0,0
2025-12-10 02:46:35,1,46,Black,1,1,0,0
2025-12-10 02:49:36,1,47,White,1,1,0,0
2025-12-10 02:51:36,1,48,Black,1,1,0,0
2025-12-10 02:53:25,1,49,White,1,1,0,0
2025-12-10 02:55:21,1,50,Black,1,1,0,0
2025-12-10 02:57:46,2,1,White,1,1,0,0
2025-12-10 03:00:08,2,2,Black,1,1,0,0
2025-12-10 03:02:15,2,3,White,1,1,0,0
2025-12-10 03:05:02,2,4,Black,1,1,0,0
2025-12-10 03:09:39,2,5,White,0,0,1,0
2025-12-10 03:11:50,2,6,Black,1,1,0,0
2025-12-10 03:13:25,2,7,White,1,1,0,0
2025-12-10 03:15:01,2,8,Black,1,1,0,0
2025-12-10 03:16:42,2,9,White,1,1,0,0
2025-12-10 03:18:32,2,10,Black,0,0,1,0
2025-12-10 03:20:58,2,11,White,1,1,0,0
2025-12-10 03:24:29,2,12,Black,0,0,1,0
2025-12-10 03:27:49,2,13,White,0,0,1,0
2025-12-10 03:30:20,2,14,Black,1,1,0,0
2025-12-10 03:32:33,2,15,White,1,1,0,0
2025-12-10 03:34:32,2,16,Black,1,1,0,0
2025-12-10 03:37:00,2,17,White,1,1,0,0
2025-12-10 03:38:33,2,18,Black,1,1,0,0
2025-12-10 03:41:03,2,19,White,0,0,1,0
2025-12-10 03:42:15,2,20,Black,1,1,0,0
2025-12-10 03:43:35,2,21,White,1,1,0,0
2025-12-10 03:47:55,2,22,Black,0,0,1,0
2025-12-10 03:49:06,2,23,White,1,1,0,0
2025-12-10 03:50:24,2,24,Black,1,1,0,0
2025-12-10 03:52:21,2,25,White,1,1,0,0
2025-12-10 03:54:14,2,26,Black,1,1,0,0
2025-12-10 03:55:27,2,27,White,1,1,0,0
2025-12-10 03:58:01,2,28,Black,1,1,0,0
2025-12-10 03:59:49,2,29,White,-1,0,0,1
2025-12-10 04:03:14,2,30,Black,1,1,0,0
2025-12-10 04:05:23,2,31,White,0,0,1,0
2025-12-10 04:06:26,2,32,Black,1,1,0,0
2025-12-10 04:08:01,2,33,White,1,1,0,0
2025-12-10 04:11:01,2,34,Black,1,1,0,0
2025-12-10 04:12:42,2,35,White,1,1,0,0
2025-12-10 04:14:46,2,36,Black,1,1,0,0
2025-12-10 04:17:13,2,37,White,1,1,0,0
2025-12-10 04:18:59,2,38,Black,1,1,0,0
2025-12-10 04:22:04,2,39,White,0,0,1,0
2025-12-10 04:25:03,2,40,Black,1,1,0,0
2025-12-10 04:28:40,2,41,White,0,0,1,0
2025-12-10 04:30:36,2,42,Black,1,1,0,0
2025-12-10 04:32:02,2,43,White,1,1,0,0
2025-12-10 04:35:13,2,44,Black,1,1,0,0
2025-12-10 04:37:00,2,45,White,1,1,0,0
2025-12-10 04:39:26,2,46,Black,1,1,0,0
2025-12-10 04:41:39,2,47,White,1,1,0,0
2025-12-10 04:44:04,2,48,Black,0,0,1,0
2025-12-10 04:46:33,2,49,White,1,1,0,0
2025-12-10 04:48:31,2,50,Black,1,1,0,0
2025-12-10 04:52:08,3,1,White,0,0,1,0
2025-12-10 04:53:03,3,2,Black,1,1,0,0
2025-12-10 04:54:40,3,3,White,1,1,0,0
2025-12-10 04:56:23,3,4,Black,1,1,0,0
2025-12-10 05:00:12,3,5,White,-1,0,0,1
2025-12-10 05:02:16,3,6,Black,0,0,1,0
2025-12-10 05:04:53,3,7,White,1,1,0,0
2025-12-10 05:05:57,3,8,Black,1,1,0,0
2025-12-10 05:07:15,3,9,White,1,1,0,0
2025-12-10 05:12:46,3,10,Black,1,1,0,0
2025-12-10 05:14:30,3,11,White,1,1,0,0
2025-12-10 05:16:02,3,12,Black,1,1,0,0
2025-12-10 05:17:59,3,13,White,0,0,1,0
2025-12-10 05:19:41,3,14,Black,1,1,0,0
2025-12-10 05:21:51,3,15,White,1,1,0,0
2025-12-10 05:23:38,3,16,Black,1,1,0,0
2025-12-10 05:24:52,3,17,White,1,1,0,0
2025-12-10 05:26:21,3,18,Black,1,1,0,0
2025-12-10 05:27:46,3,19,White,1,1,0,0
2025-12-10 05:30:00,3,20,Black,0,0,1,0
2025-12-10 05:32:04,3,21,White,1,1,0,0
2025-12-10 05:34:11,3,22,Black,0,0,1,0
2025-12-10 05:35:54,3,23,White,1,1,0,0
2025-12-10 05:38:07,3,24,Black,1,1,0,0
2025-12-10 05:40:13,3,25,White,0,0,1,0
2025-12-10 05:42:48,3,26,Black,1,1,0,0
2025-12-10 05:44:49,3,27,White,1,1,0,0
2025-12-10 05:47:02,3,28,Black,-1,0,0,1
2025-12-10 05:48:50,3,29,White,1,1,0,0
2025-12-10 05:50:27,3,30,Black,1,1,0,0
2025-12-10 05:54:58,3,31,White,0,0,1,0
2025-12-10 05:57:59,3,32,Black,0,0,1,0
2025-12-10 06:00:29,3,33,White,1,1,0,0
2025-12-10 06:01:54,3,34,Black,1,1,0,0
2025-12-10 06:03:11,3,35,White,1,1,0,0
2025-12-10 06:07:44,3,36,Black,-1,0,0,1
2025-12-10 06:09:46,3,37,White,1,1,0,0
2025-12-10 06:11:39,3,38,Black,0,0,1,0
2025-12-10 06:13:27,3,39,White,1,1,0,0
2025-12-10 06:14:39,3,40,Black,-1,0,0,1
2025-12-10 06:16:14,3,41,White,1,1,0,0
2025-12-10 06:18:09,3,42,Black,1,1,0,0
2025-12-10 06:19:50,3,43,White,1,1,0,0
2025-12-10 06:23:09,3,44,Black,1,1,0,0
2025-12-10 06:25:07,3,45,White,1,1,0,0
2025-12-10 06:26:57,3,46,Black,1,1,0,0
2025-12-10 06:28:38,3,47,White,1,1,0,0
2025-12-10 06:30:05,3,48,Black,1,1,0,0
2025-12-10 06:31:35,3,49,White,1,1,0,0
2025-12-10 06:33:38,3,50,Black,1,1,0,0
2025-12-10 06:35:58,4,1,White,1,1,0,0
2025-12-10 06:38:29,4,2,Black,1,1,0,0
